Prestadora,CNPJ,Número da Estação,Tipo da Estação,UF,Código da UF,Município,Código do Município,Logradouro,Latitude,Longitude,Frequência Inicial (MHz),Frequência Final (MHz),Azimute,Emissão
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,1825.00000000,1827.50000000,210.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,1825.00000000,1827.50000000,330.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,1830.00000000,1832.50000000,90.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,869.00000000,880.00000000,90.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,869.00000000,880.00000000,90.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,869.00000000,880.00000000,200.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,890.00000000,891.50000000,90.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,890.00000000,891.50000000,200.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7773,FB,MA,21,São Luís,2111300,"AV. ALEXANDRE DE MOURA ,86,CENTRO",-2.5316666666666666,-44.2938888888888333,890.00000000,891.50000000,200.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7803,FB,MA,21,Paço do Lumiar,2107506,"AV. 12,S/N,MAIOBAO",-2.5475000000000000,-44.1719444444443333,1827.50000000,1830.00000000,350.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7803,FB,MA,21,Paço do Lumiar,2107506,"AV. 12,S/N,MAIOBAO",-2.5475000000000000,-44.1719444444443333,1827.50000000,1830.00000000,210.0,200KG7W
